127.0.0.1 - - [04/Sep/2023:14:20:13 +0900] "GET / HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:20:14 +0900] "GET / HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:53 +0900] "GET /product/insert HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:53 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /product/list HTTP/1.1" 200 11658
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/img/1.jpg HTTP/1.1" 200 32412
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/img/2.jpg HTTP/1.1" 200 23535
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/css/style.css HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/img/3.jpg HTTP/1.1" 200 20309
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/css/bootstrap.css HTTP/1.1" 200 303215
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /display?filename=2023%5C08%5C29%5C56e324d4-a06b-4f7f-9385-c3d8872742fb_cat.jpg HTTP/1.1" 200 9285
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /display?filename=2023%5C08%5C29%5Cfabf8808-029e-4cc4-af83-e390d204cb50_images.jpg HTTP/1.1" 200 7520
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /display?filename=undefined HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /display?filename=2023%5C08%5C22%5C0ed28645-d8b4-4f29-8996-947b8f3090f8_5.jpg HTTP/1.1" 200 2894
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /display?filename=2023%5C08%5C21%5C65632c12-3d8b-4ffc-9ec1-20da71c88bf7_5.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /display?filename=2023%5C08%5C11%5Cb47d0735-ac15-4cae-83cd-bd293a1c1869_2.jpg HTTP/1.1" 200 8431
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/css/bootstrap.css HTTP/1.1" 200 303215
0:0:0:0:0:0:0:1 - - [04/Sep/2023:14:22:59 +0900] "GET /resources/css/style.css HTTP/1.1" 200 3307
